# id,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,class
0.000000000000000000e+00,4.077322823459758050e-01,1.195675727030788504e+00,1.799773869811202243e+00,1.629007358639467995e+00,4.543275203441792254e-01,4.832745709226429209e-01,6.320862041532646636e-01,6.085146306235903468e-01,4.587667979858974787e-01,-1.699332885159052786e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.210057933305591193e+00,3.777304380321413468e-01,-5.452111857617334412e-01,-7.546003820592511735e-01,-1.861842923005789574e+00,-1.156599255537221982e+00,-8.469096337700794397e-01,4.210659207360820111e-02,-5.225244438745850761e-01,2.192291061234631577e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.069430094703073486e+00,-1.883009325270476708e+00,3.540614718002737527e-01,-2.594356520795231269e-01,-1.840504970998112722e+00,3.807836325860119997e-01,-1.641460523194500531e+00,-1.431122779561733616e+00,6.570589741284857954e-01,8.803710177489110222e-01,1.000000000000000000e+00
3.000000000000000000e+00,1.332604219493067343e-01,1.237341381813998886e+00,7.752762229998277910e-02,1.023290576006232078e+00,-1.129856436865917191e+00,-4.532263340234392590e-01,9.393247454913852268e-01,-1.617899049906523778e-01,-1.303467825591992924e+00,2.563888285323614458e-01,1.000000000000000000e+00
4.000000000000000000e+00,1.729693097901528809e+00,-9.700552762413576779e-01,-2.961594501345628516e-01,-1.229364166321884166e+00,-2.294415552920343604e-01,-1.964972077423424723e-01,-1.350706376585710800e+00,2.237391897520935036e-02,8.471802443714602227e-01,1.018825819791543408e+00,0.000000000000000000e+00
5.000000000000000000e+00,-4.197106560130759445e-01,-8.949666772826714300e-02,5.738374714650851249e-01,4.676695599494722355e-01,-1.931142470179472159e+00,-2.089111667660602523e-01,-6.515464545117699569e-01,-6.520426166948591895e-01,-1.663554012979111540e-01,1.273902602500150305e+00,0.000000000000000000e+00
6.000000000000000000e+00,7.736035721941523224e-01,-1.040803927276533924e+00,-3.097159159246554161e-02,1.474841275253456097e+00,1.750212980703744314e+00,1.783766953852372827e+00,1.882681772691761957e+00,-1.313358336616897271e+00,-5.200405521520818919e-01,-4.115112731592953210e+00,1.000000000000000000e+00
7.000000000000000000e+00,-4.395736457106086958e-01,7.589068821795960096e-01,2.583904759292550590e+00,2.034732811991053936e+00,5.998453787698183604e-01,1.033650009781936552e+00,3.349288210098625429e-01,4.245801659984747567e-01,1.135965971344129688e+00,-3.861172647398914970e-01,1.000000000000000000e+00
8.000000000000000000e+00,-1.383809482619543285e+00,5.758360460447711215e-01,-4.136608880489940354e-01,7.176575264809206267e-01,-2.118289767963756454e+00,-5.819130199751235688e-01,5.446083971508661747e-01,-8.907474192048894235e-01,-1.648714216238266195e+00,5.373767414336230175e-01,0.000000000000000000e+00
9.000000000000000000e+00,4.106828399858801319e-03,1.526232975655090751e-01,1.206905731512999402e+00,2.591362775766985038e+00,7.604106737285587503e-01,1.549789097536519611e+00,1.977596084455424785e+00,-9.912331498060497070e-01,-5.971709991949016860e-01,-3.011548121655781340e+00,1.000000000000000000e+00
1.000000000000000000e+01,-6.822780473859101358e-01,-1.874548068550171420e-01,-3.387205720247167040e+00,-1.564129532187135796e+00,1.832619064381304952e+00,-4.887506680810597137e-01,1.773979320581770214e+00,-9.092194103056491783e-02,-1.966900411936175264e+00,-2.513059212373908835e+00,0.000000000000000000e+00
1.100000000000000000e+01,-9.637627363097696076e-01,2.737590545969208478e-01,-1.297397999379985345e+00,-1.589977229686555749e+00,4.134061893303840884e-01,-9.495753805848876627e-01,-3.641577810712249841e-01,8.365481099622382732e-01,-1.305119770212476160e-01,8.896059239835258925e-01,0.000000000000000000e+00
1.200000000000000000e+01,1.948633765024924136e-01,4.374138766825653724e-01,-2.757112137912592242e+00,-5.264943875740535351e-01,1.366372141526370099e+00,-3.706750861134257558e-01,2.329015369192439788e+00,-2.428836761865811322e-01,-2.371220382572787333e+00,-2.637972059192452257e+00,0.000000000000000000e+00
1.300000000000000000e+01,-2.297806313879990348e-01,-9.148451815166125378e-01,2.615481429313400774e+00,1.957612456318633676e+00,7.884449334168476264e-01,1.937854490897982007e+00,-1.259457819234310327e-01,-5.966637527268382479e-01,1.711409760360398824e+00,-1.462418050839773054e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.137212615170007241e-01,5.738263349124612667e-01,4.919258956000885696e+00,3.486712812823005603e+00,-1.363936382108539958e+00,1.527026296320424414e+00,-8.062551424788343413e-01,-1.858935996827968673e-01,2.119710510057148500e+00,1.136676768555914929e+00,1.000000000000000000e+00
1.500000000000000000e+01,-1.238629106454858908e+00,1.033290045066073359e+00,1.716196207484476322e+00,-1.607859920270546805e-01,-1.653955897847417589e+00,-9.332725219440251019e-01,-1.899542737310377483e+00,1.176764623622941208e+00,1.334759231386305256e+00,3.780221319023828741e+00,0.000000000000000000e+00
1.600000000000000000e+01,7.549615938612640464e-01,-1.775364977685313095e-01,-9.567705476783635588e-01,-9.131687491632388687e-01,-1.168862865925521355e+00,-7.852310732565457307e-01,-5.762162203731684418e-01,-2.278148804847419107e-01,-5.392323670695948756e-01,1.147295119437787836e+00,0.000000000000000000e+00
1.700000000000000000e+01,6.331778291339226206e-01,-1.347527550735137414e+00,-2.435728406548173908e+00,-1.016644756470906463e+00,1.229347377315180401e+00,3.203257158490381284e-01,1.058258937240439845e+00,-9.950833049817755516e-01,-1.202856799943203825e+00,-2.674108352158108826e+00,0.000000000000000000e+00
1.800000000000000000e+01,-3.274267889668139309e-02,-1.908341279876388352e+00,-3.129412851240535698e+00,-2.570307958655114966e+00,4.566089101267076344e+00,7.138630289830372178e-01,9.770497551292507410e-01,3.194850384542465838e-01,1.803547235609139765e-01,-3.985194816795593287e+00,0.000000000000000000e+00
1.900000000000000000e+01,-8.213942254210760963e-01,-2.535990121888502813e+00,-5.148128284061280979e+00,-2.569519719630820376e+00,3.044050732823060379e+00,4.261978121159124555e-01,2.021363371660696906e+00,-1.466459711126718135e+00,-2.190700931836328635e+00,-5.185319595571182383e+00,0.000000000000000000e+00
2.000000000000000000e+01,-1.196336694276812079e-01,9.331028143393882424e-02,-2.678380007074704139e+00,-1.442737408712485792e+00,1.351255349400521943e+00,-6.455266702762189057e-01,1.215557151470993302e+00,2.148028261198123845e-01,-1.478889606947680679e+00,-1.464791047339896179e+00,0.000000000000000000e+00
